Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Imitation W Exemplar,LogReg,Gemma-2,-96.667%,-89.231%,-94.877%,-3.207%,-93.668%,-83.110%,94.031%,-51.510%,-83.865%
EBG,Imitation W Exemplar,LogReg,GPT-4o,-80.000%,-57.949%,-75.528%,18.334%,-90.564%,-67.780%,82.599%,-32.797%,-17.124%
EBG,Imitation W Exemplar,LogReg,Claude-3.5,-91.333%,-76.410%,-86.943%,-35.115%,-95.666%,-78.516%,88.800%,-42.333%,-30.188%
EBG,Imitation W Exemplar,LogReg,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,LogReg,Llama-3.1,-98.000%,-89.744%,-96.000%,30.103%,-82.818%,-80.546%,94.611%,-50.502%,-86.085%
EBG,Imitation W Exemplar,SVM,Gemma-2,-95.152%,-84.500%,-89.525%,-4.271%,-93.668%,-83.110%,94.031%,-51.510%,-83.865%
EBG,Imitation W Exemplar,SVM,GPT-4o,-87.273%,-58.000%,-75.651%,4.177%,-90.564%,-67.780%,82.599%,-32.797%,-17.124%
EBG,Imitation W Exemplar,SVM,Claude-3.5,-94.545%,-76.000%,-85.155%,-8.453%,-95.666%,-78.516%,88.800%,-42.333%,-30.188%
EBG,Imitation W Exemplar,SVM,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,SVM,Llama-3.1,-98.788%,-85.500%,-91.881%,7.936%,-82.818%,-80.546%,94.611%,-50.502%,-86.085%
EBG,Imitation W Exemplar,RoBERTa,Gemma-2,-99.487%,-87.143%,-99.103%,154.505%,-93.668%,-83.110%,94.031%,-51.510%,-83.865%
EBG,Imitation W Exemplar,RoBERTa,GPT-4o,-54.872%,-25.238%,-57.914%,184.470%,-90.564%,-67.780%,82.599%,-32.797%,-17.124%
EBG,Imitation W Exemplar,RoBERTa,Claude-3.5,-82.564%,-56.667%,-83.990%,195.083%,-95.666%,-78.516%,88.800%,-42.333%,-30.188%
EBG,Imitation W Exemplar,RoBERTa,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,RoBERTa,Llama-3.1,-100.000%,-94.762%,-99.451%,143.944%,-82.818%,-80.546%,94.611%,-50.502%,-86.085%
