Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Claude-3.5,"-0.148 [-0.228, -0.063]","-0.269 [-0.391, -0.154]","-0.092 [-0.169, -0.007]","-0.156 [-0.276, -0.105]",,,,,
RJ,LogReg,Gemma-2,"-0.191 [-0.252, -0.118]","-0.302 [-0.407, -0.186]","-0.146 [-0.208, -0.076]","-0.144 [-0.257, -0.103]",,,,,
RJ,LogReg,Llama-3.1,"-0.197 [-0.273, -0.063]","-0.294 [-0.403, -0.190]","-0.139 [-0.198, -0.059]","-0.144 [-0.257, -0.103]",,,,,
RJ,LogReg,GPT-4o,"-0.166 [-0.239, -0.083]","-0.255 [-0.386, -0.115]","-0.132 [-0.194, -0.055]","-0.144 [-0.257, -0.103]",,,,,
RJ,SVM,Claude-3.5,"-0.214 [-0.277, -0.105]","-0.288 [-0.388, -0.179]","-0.039 [-0.099, 0.029]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Gemma-2,"-0.190 [-0.274, -0.053]","-0.195 [-0.305, -0.090]","-0.039 [-0.099, 0.032]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Llama-3.1,"-0.206 [-0.275, -0.087]","-0.202 [-0.312, -0.088]","-0.037 [-0.102, 0.038]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,GPT-4o,"-0.206 [-0.275, -0.087]","-0.228 [-0.332, -0.121]","-0.036 [-0.099, 0.035]","-2.395 [-2.508, -2.354]",,,,,
RJ,RoBERTa,Claude-3.5,"-0.104 [-0.177, 0.024]","-0.243 [-0.345, -0.133]","-0.106 [-0.169, -0.030]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Gemma-2,"-0.119 [-0.182, -0.009]","-0.258 [-0.360, -0.150]","-0.107 [-0.172, -0.035]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Llama-3.1,"-0.141 [-0.188, -0.025]","-0.328 [-0.425, -0.228]","-0.134 [-0.184, -0.068]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,GPT-4o,"-0.060 [-0.132, 0.019]","-0.313 [-0.421, -0.192]","-0.082 [-0.154, -0.006]","-0.206 [-0.319, -0.164]",,,,,
