Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Simplification,LogReg,Gemma-2,-0.627,-0.751,-0.404,-0.640,-0.924,-0.891,0.905,-0.526,-0.898
EBG,Simplification,LogReg,Ministral,-0.649,-0.742,-0.407,-0.480,-0.916,-0.893,0.910,-0.526,-0.916
EBG,Simplification,LogReg,Claude-3.5,-0.498,-0.307,-0.278,-0.099,-0.935,-0.765,0.809,-0.341,-0.173
EBG,Simplification,LogReg,Llama-3.1,-0.640,-0.769,-0.404,0.143,-0.812,-0.857,0.914,-0.513,-0.904
EBG,Simplification,LogReg,GPT-4o,-0.387,-0.240,-0.208,0.062,-0.876,-0.607,0.634,-0.243,-0.102
EBG,Simplification,SVM,Gemma-2,-0.720,-0.742,-0.231,-0.974,-0.924,-0.891,0.905,-0.526,-0.898
EBG,Simplification,SVM,Ministral,-0.711,-0.756,-0.226,-0.998,-0.916,-0.893,0.910,-0.526,-0.916
EBG,Simplification,SVM,Claude-3.5,-0.524,-0.498,-0.164,-0.137,-0.935,-0.765,0.809,-0.341,-0.173
EBG,Simplification,SVM,Llama-3.1,-0.720,-0.756,-0.232,-0.297,-0.812,-0.857,0.914,-0.513,-0.904
EBG,Simplification,SVM,GPT-4o,-0.431,-0.338,-0.123,-0.054,-0.876,-0.607,0.634,-0.243,-0.102
EBG,Simplification,RoBERTa,Gemma-2,-0.862,-0.849,-0.823,1.653,-0.924,-0.891,0.905,-0.526,-0.898
EBG,Simplification,RoBERTa,Ministral,-0.867,-0.876,-0.827,1.112,-0.916,-0.893,0.910,-0.526,-0.916
EBG,Simplification,RoBERTa,Claude-3.5,-0.436,-0.316,-0.474,1.224,-0.935,-0.765,0.809,-0.341,-0.173
EBG,Simplification,RoBERTa,Llama-3.1,-0.867,-0.827,-0.826,1.059,-0.812,-0.857,0.914,-0.513,-0.904
EBG,Simplification,RoBERTa,GPT-4o,-0.329,-0.231,-0.321,0.771,-0.876,-0.607,0.634,-0.243,-0.102
