Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Simplification,LogReg,Gemma-2,"0.079 [0.022, 0.150]","0.148 [0.062, 0.236]","0.063 [0.015, 0.129]","5.259 [4.638, 5.484]","0.111 [0.048, 0.188]","0.142 [0.068, 0.228]","0.869 [0.789, 0.942]","0.477 [0.365, 0.593]","0.137 [0.065, 0.219]"
EBG,Simplification,LogReg,Ministral,"0.056 [0.005, 0.163]","0.157 [0.074, 0.240]","0.060 [0.012, 0.132]","5.259 [4.638, 5.484]","0.120 [0.048, 0.198]","0.140 [0.068, 0.223]","0.875 [0.795, 0.944]","0.476 [0.362, 0.589]","0.121 [0.052, 0.202]"
EBG,Simplification,LogReg,Claude-3.5,"0.196 [0.106, 0.296]","0.555 [0.437, 0.663]","0.180 [0.098, 0.272]","5.259 [4.638, 5.484]","0.102 [0.038, 0.177]","0.257 [0.164, 0.354]","0.781 [0.683, 0.876]","0.644 [0.533, 0.749]","0.797 [0.706, 0.890]"
EBG,Simplification,LogReg,Llama-3.1,"0.063 [0.007, 0.166]","0.133 [0.062, 0.218]","0.064 [0.014, 0.132]","5.259 [4.638, 5.484]","0.217 [0.128, 0.317]","0.174 [0.093, 0.261]","0.878 [0.803, 0.947]","0.488 [0.375, 0.597]","0.131 [0.060, 0.212]"
EBG,Simplification,LogReg,GPT-4o,"0.298 [0.191, 0.403]","0.615 [0.495, 0.720]","0.244 [0.153, 0.347]","5.259 [4.638, 5.484]","0.152 [0.065, 0.246]","0.403 [0.294, 0.514]","0.622 [0.513, 0.731]","0.735 [0.632, 0.836]","0.864 [0.781, 0.933]"
EBG,Simplification,SVM,Gemma-2,"0.054 [0.003, 0.176]","0.178 [0.094, 0.269]","0.063 [0.015, 0.127]","5.259 [4.638, 5.484]","0.111 [0.048, 0.188]","0.142 [0.068, 0.228]","0.869 [0.789, 0.942]","0.477 [0.365, 0.593]","0.137 [0.065, 0.219]"
EBG,Simplification,SVM,Ministral,"0.060 [0.006, 0.159]","0.163 [0.076, 0.255]","0.067 [0.019, 0.133]","5.259 [4.638, 5.484]","0.120 [0.048, 0.198]","0.140 [0.068, 0.223]","0.875 [0.795, 0.944]","0.476 [0.362, 0.589]","0.121 [0.052, 0.202]"
EBG,Simplification,SVM,Claude-3.5,"0.233 [0.142, 0.331]","0.402 [0.293, 0.518]","0.125 [0.058, 0.206]","5.259 [4.638, 5.484]","0.102 [0.038, 0.177]","0.257 [0.164, 0.354]","0.781 [0.683, 0.876]","0.644 [0.533, 0.749]","0.797 [0.706, 0.890]"
EBG,Simplification,SVM,Llama-3.1,"0.049 [0.003, 0.144]","0.164 [0.083, 0.254]","0.063 [0.015, 0.132]","5.259 [4.638, 5.484]","0.217 [0.128, 0.317]","0.174 [0.093, 0.261]","0.878 [0.803, 0.947]","0.488 [0.375, 0.597]","0.131 [0.060, 0.212]"
EBG,Simplification,SVM,GPT-4o,"0.319 [0.212, 0.428]","0.548 [0.438, 0.662]","0.163 [0.087, 0.253]","5.259 [4.638, 5.484]","0.152 [0.065, 0.246]","0.403 [0.294, 0.514]","0.622 [0.513, 0.731]","0.735 [0.632, 0.836]","0.864 [0.781, 0.933]"
EBG,Simplification,RoBERTa,Gemma-2,"0.047 [0.002, 0.163]","0.119 [0.048, 0.198]","0.048 [0.009, 0.115]","5.259 [4.638, 5.484]","0.111 [0.048, 0.188]","0.142 [0.068, 0.228]","0.869 [0.789, 0.942]","0.477 [0.365, 0.593]","0.137 [0.065, 0.219]"
EBG,Simplification,RoBERTa,Ministral,"0.044 [0.001, 0.163]","0.094 [0.032, 0.165]","0.044 [0.004, 0.116]","5.259 [4.638, 5.484]","0.120 [0.048, 0.198]","0.140 [0.068, 0.223]","0.875 [0.795, 0.944]","0.476 [0.362, 0.589]","0.121 [0.052, 0.202]"
EBG,Simplification,RoBERTa,Claude-3.5,"0.436 [0.325, 0.551]","0.607 [0.488, 0.715]","0.368 [0.264, 0.482]","5.259 [4.638, 5.484]","0.102 [0.038, 0.177]","0.257 [0.164, 0.354]","0.781 [0.683, 0.876]","0.644 [0.533, 0.749]","0.797 [0.706, 0.890]"
EBG,Simplification,RoBERTa,Llama-3.1,"0.044 [0.001, 0.163]","0.139 [0.065, 0.223]","0.045 [0.006, 0.116]","5.259 [4.638, 5.484]","0.217 [0.128, 0.317]","0.174 [0.093, 0.261]","0.878 [0.803, 0.947]","0.488 [0.375, 0.597]","0.131 [0.060, 0.212]"
EBG,Simplification,RoBERTa,GPT-4o,"0.534 [0.417, 0.646]","0.683 [0.574, 0.789]","0.508 [0.390, 0.620]","5.259 [4.638, 5.484]","0.152 [0.065, 0.246]","0.403 [0.294, 0.514]","0.622 [0.513, 0.731]","0.735 [0.632, 0.836]","0.864 [0.781, 0.933]"
