Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Ministral,"-91.6% [-99.3%, -75.6%]","-81.9% [-91.5%, -72.3%]","-85.8% [-97.1%, -69.0%]","-16.4% [-38.9%, 7.2%]","-88.0% [-95.2%, -80.2%]","-86.0% [-93.2%, -77.7%]","87.5% [79.5%, 94.4%]","-52.4% [-63.8%, -41.1%]","-87.9% [-94.8%, -79.8%]"
EBG,LogReg,Claude-3.5,"-70.6% [-84.2%, -55.5%]","-36.0% [-49.6%, -23.5%]","-57.9% [-77.0%, -36.2%]","-3.3% [-26.6%, 21.4%]","-89.8% [-96.2%, -82.3%]","-74.3% [-83.6%, -64.6%]","78.1% [68.3%, 87.6%]","-35.6% [-46.7%, -25.1%]","-20.3% [-29.4%, -11.0%]"
EBG,LogReg,Gemma-2,"-88.2% [-96.6%, -77.5%]","-83.0% [-92.9%, -72.8%]","-85.3% [-96.5%, -69.7%]","-21.7% [-45.1%, 1.7%]","-88.9% [-95.2%, -81.2%]","-85.8% [-93.2%, -77.2%]","86.9% [78.9%, 94.2%]","-52.3% [-63.5%, -40.7%]","-86.3% [-93.5%, -78.1%]"
EBG,LogReg,Llama-3.1,"-90.6% [-99.0%, -75.1%]","-84.6% [-92.9%, -74.8%]","-85.1% [-96.7%, -69.0%]","5.5% [-17.4%, 29.2%]","-78.3% [-87.2%, -68.3%]","-82.6% [-90.7%, -73.9%]","87.8% [80.3%, 94.7%]","-51.2% [-62.5%, -40.3%]","-86.9% [-94.0%, -78.8%]"
EBG,LogReg,GPT-4o,"-55.2% [-71.3%, -39.6%]","-29.0% [-42.9%, -16.9%]","-42.8% [-64.2%, -18.7%]","2.7% [-21.1%, 25.9%]","-84.8% [-93.5%, -75.4%]","-59.7% [-70.6%, -48.6%]","62.2% [51.3%, 73.1%]","-26.5% [-36.8%, -16.4%]","-13.6% [-21.9%, -6.7%]"
EBG,SVM,Ministral,"-91.8% [-99.2%, -78.3%]","-81.7% [-91.5%, -71.4%]","-73.6% [-92.5%, -47.6%]","-24.4% [-39.0%, -9.6%]","-88.0% [-95.2%, -80.2%]","-86.0% [-93.2%, -77.7%]","87.5% [79.5%, 94.4%]","-52.4% [-63.8%, -41.1%]","-87.9% [-94.8%, -79.8%]"
EBG,SVM,Claude-3.5,"-68.2% [-80.6%, -54.8%]","-54.8% [-67.0%, -41.8%]","-50.7% [-77.0%, -18.6%]","-5.9% [-18.9%, 6.4%]","-89.8% [-96.2%, -82.3%]","-74.3% [-83.6%, -64.6%]","78.1% [68.3%, 87.6%]","-35.6% [-46.7%, -25.1%]","-20.3% [-29.4%, -11.0%]"
EBG,SVM,Gemma-2,"-92.7% [-99.6%, -76.1%]","-79.9% [-89.5%, -69.8%]","-75.1% [-94.2%, -49.8%]","-23.9% [-38.5%, -9.9%]","-88.9% [-95.2%, -81.2%]","-85.8% [-93.2%, -77.2%]","86.9% [78.9%, 94.2%]","-52.3% [-63.5%, -40.7%]","-86.3% [-93.5%, -78.1%]"
EBG,SVM,Llama-3.1,"-93.4% [-99.6%, -80.3%]","-81.5% [-90.7%, -71.4%]","-75.2% [-94.0%, -47.6%]","-9.5% [-23.7%, 3.6%]","-78.3% [-87.2%, -68.3%]","-82.6% [-90.7%, -73.9%]","87.8% [80.3%, 94.7%]","-51.2% [-62.5%, -40.3%]","-86.9% [-94.0%, -78.8%]"
EBG,SVM,GPT-4o,"-56.5% [-71.1%, -41.6%]","-38.4% [-50.7%, -25.5%]","-35.4% [-65.7%, 0.2%]","-4.1% [-17.3%, 8.2%]","-84.8% [-93.5%, -75.4%]","-59.7% [-70.6%, -48.6%]","62.2% [51.3%, 73.1%]","-26.5% [-36.8%, -16.4%]","-13.6% [-21.9%, -6.7%]"
