Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Simplification,LogReg,Gemma-2,0.040,0.116,0.023,1.987,0.076,0.109,0.905,0.474,0.102
EBG,Simplification,LogReg,Ministral,0.018,0.124,0.019,2.147,0.084,0.107,0.910,0.474,0.084
EBG,Simplification,LogReg,Claude-3.5,0.169,0.560,0.148,2.528,0.065,0.235,0.809,0.659,0.827
EBG,Simplification,LogReg,Llama-3.1,0.027,0.098,0.022,2.770,0.188,0.143,0.914,0.487,0.096
EBG,Simplification,LogReg,GPT-4o,0.280,0.627,0.219,2.689,0.124,0.393,0.634,0.757,0.898
EBG,Simplification,SVM,Gemma-2,0.013,0.147,0.022,3.293,0.076,0.109,0.905,0.474,0.102
EBG,Simplification,SVM,Ministral,0.022,0.133,0.027,3.270,0.084,0.107,0.910,0.474,0.084
EBG,Simplification,SVM,Claude-3.5,0.209,0.391,0.089,4.130,0.065,0.235,0.809,0.659,0.827
EBG,Simplification,SVM,Llama-3.1,0.013,0.133,0.021,3.970,0.188,0.143,0.914,0.487,0.096
EBG,Simplification,SVM,GPT-4o,0.302,0.551,0.130,4.214,0.124,0.393,0.634,0.757,0.898
EBG,Simplification,RoBERTa,Gemma-2,0.004,0.084,0.007,2.354,0.076,0.109,0.905,0.474,0.102
EBG,Simplification,RoBERTa,Ministral,0.000,0.058,0.004,1.813,0.084,0.107,0.910,0.474,0.084
EBG,Simplification,RoBERTa,Claude-3.5,0.431,0.618,0.357,1.924,0.065,0.235,0.809,0.659,0.827
EBG,Simplification,RoBERTa,Llama-3.1,0.000,0.107,0.004,1.759,0.188,0.143,0.914,0.487,0.096
EBG,Simplification,RoBERTa,GPT-4o,0.538,0.702,0.510,1.471,0.124,0.393,0.634,0.757,0.898
