Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Gemma 2,"-88.163 [-96.635, -77.548]%","-82.979 [-92.868, -72.751]%","-85.268 [-96.535, -69.709]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Ministral,"-91.646 [-99.277, -75.562]%","-81.886 [-91.493, -72.278]%","-85.824 [-97.089, -69.010]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Sonnet 3.5,"-70.579 [-84.167, -55.548]%","-35.986 [-49.620, -23.467]%","-57.879 [-76.979, -36.213]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Llama 3.1,"-90.572 [-98.986, -75.079]%","-84.607 [-92.867, -74.813]%","-85.079 [-96.673, -69.046]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,GPT4o,"-55.238 [-71.318, -39.619]%","-29.022 [-42.873, -16.930]%","-42.785 [-64.240, -18.690]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Gemma 2,"-92.682 [-99.638, -76.063]%","-79.929 [-89.472, -69.760]%","-75.140 [-94.219, -49.754]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Ministral,"-91.769 [-99.187, -78.309]%","-81.684 [-91.504, -71.361]%","-73.554 [-92.524, -47.573]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Sonnet 3.5,"-68.182 [-80.575, -54.833]%","-54.791 [-67.017, -41.775]%","-50.742 [-76.976, -18.625]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Llama 3.1,"-93.357 [-99.618, -80.320]%","-81.549 [-90.715, -71.425]%","-75.183 [-94.039, -47.626]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,GPT4o,"-56.506 [-71.061, -41.586]%","-38.354 [-50.738, -25.549]%","-35.363 [-65.740, 0.196]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Gemma 2,"-94.599 [-99.788, -81.237]%","-87.267 [-94.807, -78.780]%","-94.212 [-98.935, -86.148]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Ministral,"-94.881 [-99.896, -81.214]%","-89.896 [-96.583, -82.360]%","-94.692 [-99.488, -86.005]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Sonnet 3.5,"-49.649 [-62.517, -36.429]%","-34.972 [-47.737, -23.446]%","-55.659 [-68.208, -41.983]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Llama 3.1,"-94.881 [-99.896, -81.214]%","-85.055 [-93.086, -76.097]%","-94.556 [-99.229, -85.998]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,GPT4o,"-38.442 [-51.919, -25.408]%","-26.863 [-38.495, -15.488]%","-38.809 [-53.042, -25.352]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
