Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Simplification,LogReg,Gemma-2,-94.000%,-86.667%,-94.612%,-24.344%,-92.386%,-89.094%,90.493%,-52.553%,-89.771%
EBG,Simplification,LogReg,Ministral,-97.333%,-85.641%,-95.463%,-18.267%,-91.578%,-89.320%,91.039%,-52.579%,-91.630%
EBG,Simplification,LogReg,Claude-3.5,-74.667%,-35.385%,-65.228%,-3.764%,-93.479%,-76.498%,80.859%,-34.116%,-17.274%
EBG,Simplification,LogReg,Llama-3.1,-96.000%,-88.718%,-94.781%,5.431%,-81.206%,-85.665%,91.401%,-51.296%,-90.410%
EBG,Simplification,LogReg,GPT-4o,-58.000%,-27.692%,-48.711%,2.349%,-87.588%,-60.673%,63.357%,-24.340%,-10.206%
EBG,Simplification,SVM,Gemma-2,-98.182%,-83.500%,-91.233%,-22.835%,-92.386%,-89.094%,90.493%,-52.553%,-89.771%
EBG,Simplification,SVM,Ministral,-96.970%,-85.000%,-89.439%,-23.378%,-91.578%,-89.320%,91.039%,-52.579%,-91.630%
EBG,Simplification,SVM,Claude-3.5,-71.515%,-56.000%,-64.800%,-3.207%,-93.479%,-76.498%,80.859%,-34.116%,-17.274%
EBG,Simplification,SVM,Llama-3.1,-98.182%,-85.000%,-91.796%,-6.958%,-81.206%,-85.665%,91.401%,-51.296%,-90.410%
EBG,Simplification,SVM,GPT-4o,-58.788%,-38.000%,-48.522%,-1.254%,-87.588%,-60.673%,63.357%,-24.340%,-10.206%
EBG,Simplification,RoBERTa,Gemma-2,-99.487%,-90.952%,-99.112%,236.057%,-92.386%,-89.094%,90.493%,-52.553%,-89.771%
EBG,Simplification,RoBERTa,Ministral,-100.000%,-93.810%,-99.566%,158.806%,-91.578%,-89.320%,91.039%,-52.579%,-91.630%
EBG,Simplification,RoBERTa,Claude-3.5,-50.256%,-33.810%,-57.070%,174.693%,-93.479%,-76.498%,80.859%,-34.116%,-17.274%
EBG,Simplification,RoBERTa,Llama-3.1,-100.000%,-88.571%,-99.488%,151.202%,-81.206%,-85.665%,91.401%,-51.296%,-90.410%
EBG,Simplification,RoBERTa,GPT-4o,-37.949%,-24.762%,-38.634%,110.025%,-87.588%,-60.673%,63.357%,-24.340%,-10.206%
