Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Gemma-2,"-72.1% [-96.3%, -30.6%]","-65.2% [-81.9%, -47.2%]","-66.4% [-90.3%, -35.4%]","-15.8% [-28.9%, -9.7%]",,,,,
RJ,LogReg,GPT-4o,"-26.8% [-58.9%, 8.2%]","-31.8% [-51.4%, -10.8%]","-24.8% [-58.3%, 15.0%]","-13.1% [-23.4%, -9.4%]",,,,,
RJ,LogReg,Claude-3.5,"-23.8% [-58.3%, 11.0%]","-37.5% [-56.7%, -17.7%]","-18.3% [-55.3%, 24.0%]","-20.8% [-34.5%, -11.0%]",,,,,
RJ,LogReg,Ministral,"-69.8% [-97.6%, -18.2%]","-56.3% [-75.5%, -37.5%]","-62.9% [-89.5%, -25.8%]","-33.3% [-43.1%, -22.9%]",,,,,
RJ,LogReg,Llama-3.1,"-74.6% [-97.5%, -26.5%]","-59.2% [-76.7%, -40.2%]","-63.7% [-89.6%, -29.0%]","-13.0% [-23.0%, -9.4%]",,,,,
RJ,SVM,Gemma-2,"-70.2% [-89.6%, -46.4%]","-52.0% [-71.2%, -30.4%]","-31.5% [-75.6%, 19.9%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,SVM,GPT-4o,"-61.5% [-94.8%, -11.3%]","-25.3% [-46.6%, -4.5%]","-18.0% [-68.8%, 35.7%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,SVM,Claude-3.5,"-48.3% [-75.1%, -18.1%]","-35.1% [-56.5%, -15.2%]","-26.1% [-72.7%, 29.7%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,SVM,Ministral,"-74.9% [-97.0%, -36.6%]","-55.5% [-75.1%, -32.4%]","-34.4% [-76.9%, 17.2%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,SVM,Llama-3.1,"-82.8% [-99.3%, -42.0%]","-58.0% [-79.5%, -35.7%]","-38.4% [-81.9%, 11.1%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,RoBERTa,Gemma-2,"-45.9% [-79.7%, -5.3%]","-54.6% [-72.7%, -36.6%]","-48.3% [-79.1%, -10.2%]","-17.7% [-27.4%, -14.1%]",,,,,
RJ,RoBERTa,GPT-4o,"-18.5% [-61.0%, 27.7%]","-31.6% [-51.8%, -11.5%]","-39.0% [-73.8%, -1.3%]","-17.7% [-27.4%, -14.1%]",,,,,
RJ,RoBERTa,Claude-3.5,"-67.3% [-98.2%, 1.4%]","-18.0% [-37.7%, 1.8%]","-60.9% [-87.9%, -28.5%]","-17.7% [-27.4%, -14.1%]",,,,,
RJ,RoBERTa,Ministral,"-53.4% [-93.2%, 17.0%]","-57.4% [-74.4%, -39.8%]","-61.3% [-90.0%, -23.4%]","-17.7% [-27.4%, -14.1%]",,,,,
RJ,RoBERTa,Llama-3.1,"-62.3% [-95.4%, -4.9%]","-52.9% [-70.7%, -34.8%]","-62.0% [-87.5%, -27.9%]","-17.7% [-27.4%, -14.1%]",,,,,
