Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,simplification w vocabulary and exemplar,logreg,Gemma-2,"0.020 ± 0.020 [0.002, 0.049]","0.094 ± 0.035 [0.039, 0.157]","0.039 ± 0.023 [0.009, 0.077]","2.247 ± 0.089 [2.073, 2.411]","0.909 ± 0.002 [0.905, 0.913]","0.484 ± 0.004 [0.477, 0.491]","0.138 ± 0.003 [0.133, 0.143]"
EBG,simplification w vocabulary and exemplar,logreg,Llama-3.1,"0.050 ± 0.037 [0.007, 0.113]","0.121 ± 0.036 [0.058, 0.187]","0.059 ± 0.028 [0.019, 0.110]","2.706 ± 0.083 [2.547, 2.859]","0.911 ± 0.002 [0.907, 0.915]","0.488 ± 0.004 [0.481, 0.494]","0.150 ± 0.003 [0.145, 0.155]"
EBG,simplification w vocabulary and exemplar,logreg,Ministral,"0.022 ± 0.025 [0.002, 0.056]","0.126 ± 0.038 [0.062, 0.202]","0.048 ± 0.026 [0.011, 0.092]","2.107 ± 0.088 [1.936, 2.270]","0.909 ± 0.003 [0.905, 0.914]","0.476 ± 0.004 [0.470, 0.484]","0.110 ± 0.003 [0.105, 0.115]"
EBG,simplification w vocabulary and exemplar,logreg,Claude-3.5,"0.185 ± 0.044 [0.106, 0.270]","0.517 ± 0.059 [0.404, 0.629]","0.161 ± 0.041 [0.089, 0.238]","2.294 ± 0.081 [2.136, 2.444]","0.789 ± 0.004 [0.782, 0.796]","0.671 ± 0.004 [0.664, 0.678]","0.250 ± 0.004 [0.243, 0.259]"
EBG,simplification w vocabulary and exemplar,logreg,GPT-4o,"0.319 ± 0.055 [0.215, 0.423]","0.619 ± 0.055 [0.516, 0.724]","0.240 ± 0.049 [0.147, 0.328]","2.546 ± 0.091 [2.382, 2.723]","0.615 ± 0.007 [0.601, 0.627]","0.769 ± 0.004 [0.761, 0.778]","0.427 ± 0.008 [0.412, 0.442]"
EBG,simplification w vocabulary and exemplar,svm,Gemma-2,"0.022 ± 0.022 [0.002, 0.055]","0.154 ± 0.041 [0.081, 0.232]","0.043 ± 0.023 [0.010, 0.084]","3.511 ± 0.071 [3.385, 3.649]","0.909 ± 0.002 [0.905, 0.913]","0.484 ± 0.004 [0.477, 0.491]","0.138 ± 0.003 [0.133, 0.143]"
EBG,simplification w vocabulary and exemplar,svm,Llama-3.1,"0.043 ± 0.030 [0.007, 0.095]","0.167 ± 0.043 [0.090, 0.251]","0.054 ± 0.026 [0.013, 0.098]","3.982 ± 0.047 [3.891, 4.069]","0.911 ± 0.002 [0.907, 0.915]","0.488 ± 0.004 [0.481, 0.494]","0.150 ± 0.003 [0.145, 0.155]"
EBG,simplification w vocabulary and exemplar,svm,Ministral,"0.038 ± 0.028 [0.006, 0.085]","0.165 ± 0.043 [0.090, 0.246]","0.051 ± 0.024 [0.015, 0.093]","3.320 ± 0.060 [3.207, 3.432]","0.909 ± 0.003 [0.905, 0.914]","0.476 ± 0.004 [0.470, 0.484]","0.110 ± 0.003 [0.105, 0.115]"
EBG,simplification w vocabulary and exemplar,svm,Claude-3.5,"0.239 ± 0.050 [0.152, 0.338]","0.393 ± 0.057 [0.289, 0.508]","0.118 ± 0.036 [0.053, 0.181]","4.062 ± 0.041 [3.989, 4.144]","0.789 ± 0.004 [0.782, 0.796]","0.671 ± 0.004 [0.664, 0.678]","0.250 ± 0.004 [0.243, 0.259]"
EBG,simplification w vocabulary and exemplar,svm,GPT-4o,"0.388 ± 0.058 [0.281, 0.502]","0.607 ± 0.058 [0.492, 0.711]","0.168 ± 0.043 [0.091, 0.247]","4.197 ± 0.042 [4.119, 4.276]","0.615 ± 0.007 [0.601, 0.627]","0.769 ± 0.004 [0.761, 0.778]","0.427 ± 0.008 [0.412, 0.442]"
EBG,simplification w vocabulary and exemplar,roberta,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.097 ± 0.034 [0.042, 0.161]","0.030 ± 0.021 [0.006, 0.064]","2.099 ± 0.088 [1.937, 2.264]","0.909 ± 0.002 [0.905, 0.913]","0.484 ± 0.004 [0.477, 0.491]","0.138 ± 0.003 [0.133, 0.143]"
EBG,simplification w vocabulary and exemplar,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.087 ± 0.032 [0.034, 0.148]","0.029 ± 0.020 [0.005, 0.062]","1.686 ± 0.079 [1.540, 1.837]","0.911 ± 0.002 [0.907, 0.915]","0.488 ± 0.004 [0.481, 0.494]","0.150 ± 0.003 [0.145, 0.155]"
EBG,simplification w vocabulary and exemplar,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.102 ± 0.034 [0.043, 0.165]","0.029 ± 0.019 [0.005, 0.061]","1.640 ± 0.082 [1.490, 1.798]","0.909 ± 0.003 [0.905, 0.914]","0.476 ± 0.004 [0.470, 0.484]","0.110 ± 0.003 [0.105, 0.115]"
